item_id,situation_id
007d79e0a6ca44dc53a0ccf0,ddbadfb62c86dfea475c
00c57c7398f96da73a74f693,6395482a34b514de544c
00d893812a2bd83f114da25c,b9fe6dc34d102ef3c290
00e54b26b5f800ff40fd240d,e3dc2f9da2e8c871ab37
00ed89cc954854de1fcd85ea,4250584166b79a6cf574
00ef8c555ad0e4577e72af66,907b144faf82441b703c
012d0f56dec9439ab54592a7,d4a82ca0913393e66518
01704d210714a7b103c09f11,5a46825cbb2109b18de9
017b73e33e16497146a1b463,46cc6045984a91100e8d
018feb39b83ccc6153d85b9f,6359acfe13ead3d9c630
019b6bbdb6d721fcfe681da8,8eef166ebfd23f81a522
01b6213b76d191045110a5d3,52963f6072a17ee6995f
01e37570c7ba248af62ea636,b793380cfc9109ad4fcd
0201179c2648a120fd94b368,2cbfcfbc267814fb57aa
021a607dd626beaef3a74fa4,478495169987e64993a8
022c83a2af9a5597d0108941,3d3fe013e94ce1566fed
02314a35f8e706bb138816fb,eb382b106aef8eafa197
025756ea43f17298ed16bd95,7fee2ada60ed097d7dd0
026e685c200366561cf3be09,7c78031725123c3797ec
0279f52b7682c59a93f9bc44,2597d9bd26b89217e761
0294f0ec1f223e790afaf46d,3edbad05badddb87bf32
02cd4a7ce1b4bf16af98a918,fc6da3b5c1701cc82cb2
02e86060d1453dbc0e82b1f9,8744d3216a93e386695f
03047b60123b45a82cda972e,351a0d70be11b7c100b8
030d75f095d09ee77b72d3c8,d3cf75c0eb526881c1ba
032127ff0d09e6fc8c2199c1,86533970686a26d8204c
0328d575e77b9bac058267d6,4e75ce3b4431b29ef302
03635588f75557c87033a77f,91bf33814ec9630f9743
037dfe5c02a24757bfa8a695,dc11d5d7e1551ec45b25
03aae683ebcd2d6fe5cc0735,3b124cd9ca378e4ae5f1
03b33aa522ebc19026502858,7b78cd3b64cae0ae3489
03bec42344b5137969f89579,ce8b429ab2ea6f89fb32
03e221b5c66e54d70d23acf8,044191498f7d5aebcecb
03e93b9688297f842f16d15f,70c6c4a9b329ebc3ee9f
0405d8430befcf2b05a36095,70fcd16bb2f872794211
044d214473f684d8ef73879d,893880e587d6ad005e4a
046c57cc52ffa52e21b5225f,f9cf84abc3e560eae69c
046d4b1de37f83046459dc9a,1da456552b94744624b0
047a521fcfd167676406d147,ee039deb8c244a401a41
04b2d16288224c31ef921563,84d70e4cca8cc5345651
04c96cfb1e00c909d1731017,b6570feacb8317ce42cc
04e6f4f3a01498613203a3a6,6325dec6a45062efb9fb
04f3f142c70444bfc8513602,fee950e1fa614dcdd115
04fa70e6ecde2d39c8f53044,9663e99e7754ec70a5d9
0513907c3f658d56913e6222,4e4b6056beab77491770
0538c54f5bfc01bd1380d721,cb197a1d5965b802f336
054d2efec59774f4a40d3e1e,5b0f95be0740de41efee
054db6275b8ccb81a3d11c3a,8cad9200935427b41a33
057b0963d2a3bf8cc13e03d9,2d65a357486c81c0fa9e
05a234670d5877e4138decff,cd009cc9690606917b0d
05b5bb6d6dd8d15328ad2f7d,484d9d71cce4b093d80b
05c3f7afc5362f39fc67223d,f3dbb46c47950335ad0c
05ebbb1a3d10fab44cfb7ce7,ddeac2bf853f62ba78ba
0632a0d6f7f69c8850f5e45c,7c6937aa36a9d311bf24
064f95687f0d24b8a99ac63e,7b266a3aa1867cf4e842
067db438546bb2f087484c29,c458d867665cd69aff1f
068d9c3cceb918ac2e4f5ff9,122fc32ca7f0d975930f
06af7385a410c0b0221ada53,13863fff8dd41a810880
06eca3b6e017207e675a19a5,9f9bbeda315f6fcee34b
071b86071034740b872b36ec,a4f2551651f93a0795fa
072048f336ceb08fabca4234,455cbfe414f84b0c7f6d
072280f721e6da2442a7ef1a,6027f2aaa1925119707a
072bc9b8dfad1168615e8360,837e38d64aba8be2df1c
07b7bd259b72e08da9380384,293d135130f8a1399a00
07c19ffc85b0dc15d173a053,1ebee3966a5487680854
