actor,dataset,row_id,group_id,label,score,conditions
llama,AMPERE++,0044b5d7ac3fef8489825c5cf695f762c14f36805791c69d7501b5bdcefe24ad,SyU_UK2lf,1,0.0046143587807786,8
llama,AMPERE++,07c8024a981205b93e6cf8e605bc8319970b22784d487b089b7cc62dca603712,SkxHS_vlz,-1,-0.8282911879045276,8
llama,AMPERE++,07f152baeb0778692ee2be8be858a91c8f230cf950e628da5c7fcb8a305d3873,SysTGDdxf,-1,0.2347245527167413,8
llama,AMPERE++,09a07d99fe5e6c1bdef8917640776a118d093f9cbd2794d5a481670457abf85f,By-4qhFeM,1,-0.1529024456190951,8
llama,AMPERE++,0cf9169eb9f17fdc3b4dd3ba26433e564dabf40aa3fc2906389120e26430aeb3,SkugmHtgf,1,-0.1452345902384502,8
llama,AMPERE++,0dc3f725f2882d1131e2bb91789735f5ec29d0dd180df1a74382b9da210bc0eb,SJNicmVeM,-1,-0.3715820531999868,8
llama,AMPERE++,0e46737d9335158d8a666df18f7edcb36566ce038a171a03395361b4eb666f48,Hk1CjNZyM,-1,-0.2690977240002477,8
llama,AMPERE++,1108f3ce968c17f4c5e64138f602e0624c8d4fec3566fa1fa6d9e6fa66d27e99,SJNicmVeM,-1,0.0489923381332553,8
llama,AMPERE++,1540a384560a286c441f48090f08eca93a72989632ac340e1183d7d5affa9924,SkxHS_vlz,1,0.1321820622834949,8
llama,AMPERE++,15648943d7255ec10cc91984ba0c788f7bb0208a73da07e3187d14f478eae3f8,HyLL47JGf,1,1.0132586553687313,8
llama,AMPERE++,1706b241f9282f6ac28ef2ad95a37e6168ca9f35e784df3e077409df3be3f8b4,S1_Zyk9xG,1,-0.1458756083171631,8
llama,AMPERE++,17bb2a03be69f645346d789034ff2bee9f122735e3c0ac8668f886cacf92713f,Hk1CjNZyM,1,-0.4825671260026862,8
llama,AMPERE++,18053c8d0dabeb2fe1f2e835d01db7d15f78689c2525bdd11db07c23f541981f,SkxHS_vlz,1,0.1684900734513832,8
llama,AMPERE++,190a808a592800bbdec2d2a32ca78cff571d5fca6a53dd1ad849f7a6a95cbcb5,SkzzOIcez,1,-0.2729440616859878,8
llama,AMPERE++,1985bac36b4ddd68e690434dc9678c199db82f3871e70e32605b4f8978a7a7ff,BJfU-qDeG,1,-0.2992860632292722,8
llama,AMPERE++,1a329ca3006845eb1426cbed679fa8afa593707c446c9b117685c21088ffe380,H1g6cQsxM,1,0.2147453393479858,8
llama,AMPERE++,1be23d368190d028d73c0e26b2089031514c170293dcacd6a25855309446dfd1,BkL0g3a1f,-1,0.1345551329624208,8
llama,AMPERE++,1c2838fa81fc5c5fd629a5a70a24515bf06cb0beb5c2ca31972d7f2052b3d615,ByL47G5lM,1,0.6932224365494936,8
llama,AMPERE++,1e6686115732e85ca2bf568ae5a4f154f0f133db367a02a62d420c52a3dd576d,Hk1CjNZyM,-1,-0.323809163749798,8
llama,AMPERE++,20e9ff5d5a09ff6074c951331194be00884c062f077f935badfb92ffb40b81ac,BkWlPOFlM,-1,-0.8230540979908467,8
llama,AMPERE++,213dfdeba855073ce82c885e3a85b741e17a56f6ba8b65f00a1c5fdf373d9ee4,SJzxff6xM,1,-0.2582447259862879,8
llama,AMPERE++,21cadb52f36e2506e715a95f3f09e5deee710050153b8ce3a29bf03fd63c855e,rk4VD6Ymf,1,0.2448053200601945,8
llama,AMPERE++,29e912f0fe176d3169ac88822a360ea5512436576a1882abe828961a3883ffae,SyU_UK2lf,-1,-0.229048416113529,8
llama,AMPERE++,2a735ed0f218dc6dd112956704657764f411027f461b5a347f2f525435105848,SJNicmVeM,-1,0.1699827289800153,8
llama,AMPERE++,2ab4584733b637783d7d8384090ca75dc2fd5af960d187221c08af79089765f3,HyZBE0IlM,-1,0.3549585377114499,8
llama,AMPERE++,2bc83276bc5182f92c96b2fea38434ef391e3d1fb09eb265cb45ed6371b243c9,SycLo2FxG,-1,-0.6936254464425224,8
llama,AMPERE++,2ce72e8e47cbd8f4fcafffe97fc627505e04f65e0cc55fc975d4226a1edf94c9,Bk15lpF1G,1,0.027205583716902,8
llama,AMPERE++,2dbddb0e783c04af1948c63ec01a85441930a7f888794ccca6f0f452a23a3a41,HyJlQlQWf,1,-0.5000493321281089,8
llama,AMPERE++,2df188b7b0f083a25bd6ebb7d641587f9980aa717ee8fa0b38efc46a31302d6b,SkwCEXalM,1,0.3101661616315476,8
llama,AMPERE++,2e372fe3f3559b39dddc7249574779a75a5daa64d2f608767b0cd1f3cceb2a93,ByL47G5lM,1,0.1047971414516046,8
llama,AMPERE++,3002af440eb8418eaba47fd5e2e5270f7cb63f5918f88950bd4151d834c217f8,SkFdaJtgf,-1,-0.3597586802459123,8
llama,AMPERE++,306fe75b7030eba77aca376029c31d930ebb1d0f8946c289a945ef0cf81e4d8c,S1_Zyk9xG,1,0.1681090232257101,8
llama,AMPERE++,330d310d5575a69c7afb1a817f405efe229ada6c31f1c3534638eff1fe1b9a65,SJ3tICFlz,-1,-0.1932153540002794,8
llama,AMPERE++,33ad0870906c77384d3a33c501a3e77de5409758dab909b8f2335ffda91da308,HJ_BtypgM,1,-0.1350438603963339,8
llama,AMPERE++,36fa693b47a944bc05b065e81e69959d12ab2c933ecb22a5fe9a9ceab4f8e26b,rkBmo9ryM,1,0.0306911743217641,8
llama,AMPERE++,38f634aa0d8d14b763113073787566885726f2ad76dd438839e40f92ec81fbd8,S1skfxRxM,-1,-0.3292445721844169,8
llama,AMPERE++,3a005b584108b0875429792c1fcf0a868c1cbcad1d358f94b2b7b9fcf9e52eb2,Hk1CjNZyM,1,-0.0831868894036447,8
llama,AMPERE++,3ad9e2b5ee65ac6faee7c2d779231ce197f1649855505bae50e9d5bb9a758da9,SkwCEXalM,-1,-0.2174326174029517,8
llama,AMPERE++,3c3ed11433698326e25f03beedf699ec1dbc09df101ce03a90a5f860bfc56d0d,HJ_BtypgM,1,-0.1699140353461624,8
llama,AMPERE++,43fc64b006182d5fa886e2ae2694628bf210aaff2c8d99da968ac38b7079e53b,r1k_ETYlM,1,-0.2303989219270758,8
llama,AMPERE++,474b27ddf628a5a2f7c301a81e9f0ad1bb623d1482d3639db2e57f408665cb16,SkNXYkbkz,1,0.4452862121055504,8
llama,AMPERE++,47f3be77b1120925732ea3234cb1765c2e1ba803608c3011424cb84ab3701f6f,SkF57lqez,-1,-0.2567616105534744,8
llama,AMPERE++,4e4361e195c1dfe7d7d526a7307dbb464233c3abf2174841726b144467f9eaf7,S1_Zyk9xG,1,0.1392871674811236,8
llama,AMPERE++,4f7ef70c50486f2551f58ce5eca64609291229b48955526808ac399c74520f00,S1skfxRxM,-1,-0.7553246959461689,8
llama,AMPERE++,51a19c0265e3e854a3b46cc72e4d37657f327c15ee89eb34d22da24fe94c8a49,ByL47G5lM,-1,-0.4927011617501415,8
llama,AMPERE++,5246eaf6d16597936010983ba45db89a6f3553dc041a64d1945f0e997ad55200,ByC55Gcxz,-1,0.1709801453744349,8
llama,AMPERE++,5633b7b615166c761c012def58d80f3a566c3436ba82cc78ffd79da28bd04a26,Hk-OLVKeM,1,-0.4113345892809668,8
llama,AMPERE++,56d27c374d9e14b5dfb70b784d59894fc9517cab73e213277232317f99e90a3c,BkWlPOFlM,1,0.3634802864528501,8
llama,AMPERE++,575a23e3acd34b2c9a38c757e20101b963f89da8dcc28d37c71e4c8fe42f9645,SJNicmVeM,-1,-0.3524313807013313,8
